Resource Title,Listing Description (HTML),Categories (Slug-Based),Email,Fax,Mobile Phone,Phone,Website,Facebook,Twitter,Times Accessed (As of 3.14.2023)
Garrett County Health Department,"The Garrett County Health Department is the definitive public health resource in Garrett County, Maryland.   We provide leadership in promoting environmental and individual health through education, regulation, health promotion, and disease prevention, detection, treatment, and care.
In cooperation with other resources, the Health Department is responsible for assisting the community and its citizens to assume responsibility for both individual health and the health of the community.

Services include:
<strong>Administration: </strong>Billing, Birth &amp; Death Certificates, Personnel Office, Purchasing, Health Planning
<strong>Adult &amp; Geriatric Services:  </strong>Free Evaluations, Medical Daycare, Respite, Chores, Medicaid Personal Care, RN Monitoring, Nursing Home/Transition, Housing Referrals
<strong>Behavioral Health </strong>including<strong>  </strong>Substance Abuse and Mental Health: Diagnosis and Evaluation, Medication Management, Individual Therapy, Group
Therapy, Family and Marital Therapy, School-Based Programs, DWI Clinic, Employee Assistance, Referral Services, Emergency Crisis Services, Intakes, Pre Court Evaluations, Acu-Detox, Jail Services, Urinalysis, Education Programs for First Time DUI Offenders, Co-Occurring Therapy
<strong>Behavioral Health Authority: </strong>Planning and Oversight of the Local, Public Mental Health System, Assists Persons in Receiving Medication, Groceries,
Utilities, Housing, and Employment
<strong>Dental Health: </strong>Dental Clinic for All Ages, Specializes in Children and Pregnant Women, School Programs Including: Fluoride, Brushing and Dental Education
<strong>Environmental Health: </strong>Food Safety and Food Service Inspections, Percolation Tests/Septic System Permits, Rabies and Other Zoonotic Disease Control,
Water Testing/Well Permits, Recreational Sanitation Permits, Lead Evaluations, Air Quality Control Permits

<strong>Health Education &amp; Outreach: </strong>Smoking Prevention and Cessation, Drug &amp; Alcohol Prevention &amp; Education, Car Seat Assistance Program, Worksite Health Promotion, Fitness and Nutrition Education, Community Planning Groups, After School Programs, Drug Free Communities Coalition and Action Teams
<strong>Healthy Families/Early Care Programs: </strong>Lactation Consultant Services, Early Head Start, Maryland Children’s Health Program (MCHP) Eligibility, Nurse Case Management for Children with Special Health Care Needs, Childbirth Classes, Lactation Classes and Consultant Services, Healthy Families
Garrett County

<strong>Home Health: </strong>Skilled Nursing Care, Home Health Aides, Physical, Speech, and Occupational Therapy, Medical Social Worker Services, Coordination of Hospital Discharge/Intake, Medical Assistance Transportation, Provide MA Garrett County Residents with Transportation to Appts., Non-Emergency
Ambulance Transportation Between Appts. and After Hours
<strong>Personal Health: </strong>Immunizations for Children and Adults, Cancer Screening, Diagnosis &amp; Treatment BCCP and CPEST Programs, Family Planning
Program and Pregnancy Testing, HIV Counseling &amp; Testing, Garrett County MedBank, STD Clinic, Communicable Disease, Colposcopy Services, Emergency
Preparedness, ACCU
<strong>WIC: </strong>Provides Nutritious Food Benefits, Breastfeeding Support and Electric Pump Loan for Special Needs, Nutrition Education and Information, Farmers Market Nutrition Program Coupons, Health Screening and referrals.",public-health;government;diabetes,media@mygarrettcounty.com,,,301-334-7777,http://garretthealth.org,http://facebook.com/garretthealth,@garretthealth,5008
Adult Protective Services,Investigates situations of adults needing assistance.,abused-persons,,,,301-334-9000,,,,2004
Department of Social Services,Department of Social Services,adoption,,,,301-533-3000,,,,2240
Child Protective Services,Child Protective Services; after 4:00pm call 911.,abused-persons;children;crisis,,,,301-533-3000,,,,3686
Rural Economic Development,Rural Economic Development,agriculture,,,,,,,,2473
HART for Animals,"HART's mission is to improve the lives of animals in Western Maryland by:
<ul>
 	<li>Rescuing animals and transporting them to areas where they will have a better chance of being adopted.</li>
 	<li>Reducing pet overpopulation through low-cost spaying and neutering.</li>
 	<li>Building a humane and friendly animal center, where adoptable animals will never have to be euthanized.</li>
 	<li>Providing information and education to owners about responsible pet ownership, obedience training and rehabilitation of rescues to reduce the number of relinquished and abandoned animals.</li>
</ul>",animal-assistance,,,,301-387-7729,http://www.hartforanimals.org/,https://www.facebook.com/HARTforAnimals,,3275
Garrett County University of Maryland Extension Office,"Email: wguard@umd.edu -or- rcvetnic@umd.edu

The University of Maryland Extension (UME) of Garrett County which is part of a statewide, non-formal education system within the College of Agriculture and Natural Resources of the University of Maryland, College Park and the University of Maryland, Eastern Shore. This partnership also includes support from USDA as well as county government. The Garrett County UME faculty and staff provide a broad range of outreach through workshops, seminars, classes, clinics, newsletters, consultations, and media efforts, related to the following topics:
<ul>
 	<li>4-H &amp; Youth Development</li>
 	<li>Agriculture</li>
 	<li>Environment &amp; Natural Resources</li>
 	<li>Home Gardening / Master Gardeners</li>
 	<li>Food &amp; Nutrition</li>
 	<li>Health &amp; Wellness</li>
 	<li>Money</li>
 	<li>Budget and Financial Counseling</li>
</ul>",agriculture;counseling;diabetes,,,,(301) 334-6960,https://extension.umd.edu/garrett-county,,,5671
Ryan White HIV Garrett County Health Department,"The Ryan White Program at the Garrett County Health Department provides case management and  support to HIV positive clients. The HIV virus is an infection that is spread from person to person through blood and body fluids.  Although there is currently no cure for HIV, it can be treated with daily medications that decrease the HIV viral load in the bloodstream.  When a HIV positive person's viral load is ""undetectable"", they do not spread the virus to others. It is very important for anyone with HIV to be able to go to the doctor regularly,  get their medications, and take care of themselves on a daily basis. This will not only help the person to live a long, healthy life, it will stop the spread of the infection to others. Everyone benefits. Our case management program  assists clients with obtaining medical care, medications, housing, food, transportation, education and other support to help them obtain and stay in good health.

One of the most dangerous parts of HIV is not knowing that you have it.  The Garrett County Health Department offers free HIV testing.

For more information on the Ryan White Program or free HIV testing, please call Personal Health  301-334-7770.

&nbsp;",aids,,,,301-334-7777,https://hab.hrsa.gov/about-ryan-white-hivaids-program/about-ryan-white-hivaids-program,,,2087
AIDS/HIV Counseling,AIDS/HIV counseling is available at the Garrett County Health Department.,aids,,,,301-334-7777/301-895-3111,,,,1875
Alcoholics Anonymous,"Includes Intergroup Office, Adult Children of Alcoholics, and Alanon.",alcoholism;ah,,,,301-722-6110,,,,3841
